company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Website,Booth: 3C-B28   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-E20   |   World of Fine Dining   |   ,Booth: 3C-B06   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-C36   |   Cook & Dine   |   ,Booth: 3E-B19   |   World of Fine Dining   |   ,Booth: 3D-D01   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3D-E02   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3E-E12   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-D08   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-A14   |   World of Fine Dining   |   ,Booth: 5E-L25   |   Cultural and Creative Avenue   |   ,"Booth: 3E-S008, 5E-E05   |   hktdc.com Showcase Zone, Homepedia   |   ","Booth: 5E-A16   |   Outdoor, Camping & Gardening   |   Cantonese Business Go Global",Booth: 5E-C02   |   Health & Wellness   |   Cantonese Business Go Global
"Taizhou Baiyite Plastic Co., Ltd.",Chinese Mainland,,Manufacturer,"Kitchen Utensil,Tableware",Plastic,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Baiyite-Plastic-Co-Ltd/1X09HRXU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LFDI,,,,,,,,,,,,,,,
Taizhou Huangyan Chengnan Molds & Plastics Factory,Chinese Mainland,,Manufacturer,"Spice Container, Food Box, Food Container, Kitchen Utensil, Dish Rack","Our factory specializes in manufacturing plastic brushes, brooms, mops and other daily-use plastic articles. We have nearly 10 classes and more than 600 items and styles of products. Adhering to the tenet of the consumerism and top-quality.","OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Huangyan-Chengnan-Molds-And-Platics-Factory/1X077UB7,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GRQ3,www.shuixian-brush.com,,,,,,,,,,,,,,
"Taizhou Xianya Imp. & Exp. Co., Ltd.",Chinese Mainland,,"Service Company, Buying Office, Distributor, Trade/Industrial Organisation, Shopping Mall, Charity / Welfare Organisation",Cutting Board,"Taizhou Xianya Import & Export Co., Ltd. was established in 2010. The legal representative is Ying Xiangen. The company's business scope includes: engaging in the import and export of goods and technologies; wholesale and retail of plastic products,","OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Houseware Fair 2017 HKTDC Hong Kong International Home Textiles and Furnishings Fair 2017,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Xianya-Imp-Exp-Co-Ltd-/1S00P3Y02,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KVO5,,,,,,,,,,,,,,,
"U-Right (Wuxi) International Trade Co., Ltd",Chinese Mainland,,Exporter,Functional Fabric,Microfiber household cleaning fabrics and microfiber cleaning products,"Others, OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/U-Right-Wuxi-International-Trade-Co-Ltd/1S00P035I,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KVUN,,,,,,,,,,,,,,,
Weihai Seyou Trading Co Ltd,Chinese Mainland,,"Charity / Welfare Organisation, Trade/Industrial Organisation, Statutory Body, Religious Group, Buying Cooperative, Chain Store, Professional Association, Buying Office, Department Store, Service Company, Wholesaler, Distributor, Consulate and Trade Commission, Shopping Mall, Retailer","Furnishing Fabric,Functional Fabric,Bed Linen,Quilts,Bed Sheets,Pillow Cases,Napkin,Table Cloth,Fabric Curtain,Cushion Cases","Cotton (Digital) print fabric, Precuts fabric, Pet products, etc.","ODM, OEM, OBM, Others",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC International Sourcing Show 2021,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/WEIHAI-SEYOU-TRADING-CO-LTD/1S00NWJG5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JCEI,,,,,,,,,,,,,,,
"Wuxi Henotic Co., Ltd.",Chinese Mainland,,Buying Cooperative,"Oven Gloves,Kitchen Gloves",Glove,OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wuxi-Henotic-Co-Ltd-/1S00OZE4A,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JUXF,,,,,,,,,,,,,,,
"Wuyi Qinyuanchun Kitchen Ware Co.,Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Grill Pan,Bakeware",Bakeware,"ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wuyi-Qinyuanchun-Kitchen-Ware-Co-Ltd-/1S00OXKMM,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KD4B,,,,,,,,,,,,,,,
"Wuyi Shunfeng Stainless Steel Products Co., Ltd.",Chinese Mainland,,"Manufacturer, Export Agent","Thermal Flask,Thermal Mug,Vacuum Flask","Stainless steel, glass and plastic drinkware","ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wuyi-Shunfeng-Stainless-Steel-Products-Co-Ltd-/1S00OQ7QN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GRR0,,,,,,,,,,,,,,,
"Wuyi Yole Household Products Co., Ltd.",Chinese Mainland,,Manufacturer,"Bathroom Mat,Door Mats",PVC MAT,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/WUYI-YOLE-HOUSEHOLD-PRODUCTS-CO-LTD/1S00OZKZJ,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005K44K,,,,,,,,,,,,,,,
"Wuyuan Meimei Houseware Co., Ltd.",Chinese Mainland,"Established in 1992, Wuyuan Meimei Houseware Co., Ltd., located in Qiukou Town, Wuyuan County, Jiangxi Province, specializes in producing high-quality, eco-friendly wooden housewares like rolling pins, meat hammers, honey dippers, juicers, bartender sticks, egg beaters, and tableware. Utilizing premium imported and local hardwoods, advanced equipment, and skilled craftsmanship, we offer customized solutions, reliable quality, and attentive service to clients worldwide. We warmly welcome global partners for mutual cooperation and a prosperous future!",Manufacturer,"Fork,Cutting Board,Plate","we specialize in crafting premium wooden houseware designed for durability, safety, and convenience. Our product range includes wooden rolling pins, meat hammers, egg beaters, juicers, honey dippers, bartender sticks, wooden tableware and etc.",OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wuyuan-Meimei-Houseware-Co-Ltd-/1S00P0H0J,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LF8X,,,,,,,,,,,,,,,
Yangjiang Amber Industrial Co Ltd,Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,Kitchen Knife,Kitchen Knives,"OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangjiang-Amber-Industrial-Co-Ltd/1S00OZMIW,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005K6M0,,,,,,,,,,,,,,,
"Yangjiang Changying Industry and Trade Co., Ltd.",Chinese Mainland,,"Distributor, Exporter, Wholesaler","Kitchen Utensil,Tableware,Manicure Supplies,Makeup Kit,Personal Care Product","Specializing in the production of eyebrow clips, acne needles, eyelash curlers, manicure beauty sets, all kinds of hardware, stainless steel, plastic tool products.","OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangjiang-Changying-Industry-And-Trade-Co-Ltd/1S00OYDRE,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005ISO8,,,,,,,,,,,,,,,
"Yangjiang Dasha Trading Co., Ltd.",Chinese Mainland,"Yangjiang S&F Industry & Trade Co., Ltd. is an international manufacturer & distributor of high quality wire iron products. We especially specialize in barbecue accessories and parts, metal household items:1) Barbecue grill baskets2) Barbecue sets3) Wine holders4) Fruit holders5) Kitchen accessories6) Bathroom accessories7) Storages8) Garden tools As a manufacturer, we provide competitive goods. We are committed to providing our customers with superior quality and competitive prices.","Exporter, Importer, Manufacturer, Shopping Mall, Department Store","Baking Tool,Kitchen Knife,Cutlery Set,Fork,Table Knife,Kitchen Utensil,Tableware,Frying Pan",Storage rack Bracket Hook mug tree/cup rack kitchen tool Grilling products Bathroom rack Organizing rack Storage cartStorage basket,"OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangjiang-Dasha-Trading-Co-Ltd-/1S00P0ZN4,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LU6O,,,,,,,,,,,,,,,
"Yangjiang Green Sun Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,"Our company specializes in the sale of kitchenware, bakeware and housewares, etc. With more than 10 years of experience in foreign trade, we can easily solve all kinds of problems in export trade.",Exporter,"Baking Mold,Baking Tool,Kitchen Utensil","Kitchenware, baking tools, household items","ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/YANGJIANG-GREEN-SUN-CO-LTD/1S00OUMBH,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HBQJ,,,,,,,,,,,,,,,
"Yangjiang Kaisen Trading Co., Ltd",Chinese Mainland,"Yangjiang Kaisen trading Co., LTD is founded in 2012, professional at wood and bamboo products, cutting boards, pizza boards, cheese boards, knife blocks and handicraft products. We own the strong production capability and advanced production equipment, like CNC machine, dehumidification room, automatic grinder, automatic polishing machine, etc. In order to make good circumstance to our workers and ensure the product' s quality, we use the central vacuum system to collect the dust. Our company to"" quality first, integrity, meet customer's request"" as the quality policy. We always strictly implement the ISO9001 quality management system. Besides, we have FSC forest certification, BSCI audit report, BV & SGS certificates. Every year, we designed our own creative products by R&D department. We wish our products will meet the needs of market and continuous development. It is our responsibility to bring low-carbon, green, environment-friendly and healthy products to all families. Welcome all business friends to contact us at any time.","Wholesaler, Manufacturer","Cutting Board,Kitchen Utensil,Tableware,Coaster","wooden tray , resin cutting board, Resin tray, Kitchenware, Resin coaster",ODM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangjiang-Kaisen-Industry-and-Trade-Co-Ltd-/1S00OLRSX,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GA68,,,,,,,,,,,,,,,
"Yangjiang Yuyang Housewares Co., Ltd.",Chinese Mainland,"Yangjiang Yuyang Housewares Co., Ltd., is located in Yangjiang city which is famous for kitchen products and hardware manufacturing in China. The factory covers an area of 20,000 square meters. We specialize in producing high-quality metal BBQ accessories and kitchenware. With over 1,000 molds and strong product customization capabilities. We provide OEM&ODM service, we are able to tailor our products to meet the specific needs of our clients. Our team consists of highly skilled professionals in R&D, Sales, and Quality control who are dedicated to ensuring that our products meet the highest standards of quality. We are proud to have achieved BSCI audit certification and we continue to work hard to maintain our reputation as a leading producer of BBQ tools and kitchenware. We are confident that our service brands, which include Black Stone, Jim Beam, Cuisinart, and Grillfurst, will continue to provide our customers with the high-quality products they have come to expect from us.","Wholesaler, Manufacturer","Cup, Kitchen Knife",Kitchenware,"Others, OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangjiang-Yuyang-Housewares-Co-Ltd-/1S00OLC66,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HBRG,,,,,,,,,,,,,,,
"Yangjiang Zhida Industry and Trade Co., Ltd.",Chinese Mainland,,"Shopping Mall, Buying Office, Distributor, Trade/Industrial Organisation, Wholesaler, Department Store, Importer","Baking Tool,Grill Pan,Saucepan,Cutlery Set,Fork,Kitchen Utensil,Tableware,Kitchen Gloves,Frying Pan","Specializing in the production of tableware, kitchenware, knives and forks","ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangjiang-Yangdong-Zhida-Industry-And-Trade-Co-Ltd-/1S00OQ4RN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MRD6,,,,,,,,,,,,,,,
"Yiwu East Rise Commodity Co.,Ltd.",Chinese Mainland,,"Export Agent, Manufacturer","Towels, Kitchen Gloves",Towel,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-East-Rise-Commodity-Co-Ltd-/1S00OZE3D,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JUVL,,,,,,,,,,,,,,,
"Yiwu Kangshuo Plastic Products Co., Ltd",Chinese Mainland,,"Charity / Welfare Organisation, Department Store","Oven Gloves,Home Storage & Organisation",Food Storage Container,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Kangshuo-Plastic-Products-Co-Ltd/1S00P055G,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KYKE,,,,,,,,,,,,,,,
"Yiwu Lijin daily Necessities Co., LTD",Chinese Mainland,,"Retailer, Manufacturer",Kitchen Utensil,scoure,"ODM, OBM, OEM, Others",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Lijin-daily-Necessities-Co-LTD/1S00OY9L0,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005ING1,,,,,,,,,,,,,,,
"Yiwu Shiny Daily Commodity Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Bath Supplies,Bath Sponge & Scrubber,Bath Gloves,Personal Care Product",Back Scrubber bath gloves SPONGE/SCOURER shower pouf,"OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Shiny-Daily-Commodity-Co-Ltd/1S00OZ396,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JJCH,,,,,,,,,,,,,,,
"Yongkang Befair Kitchenware Co., Ltd.",Chinese Mainland,,Retailer,,"BAKEWARE, COOKWARE, COLANDER","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/YONGKANG-BEFAIR-KITCHENWARE-CO-LTD/1S00OJNOD,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KCYU,,,,,,,,,,,,,,,
Yongkang Credible Daily Products Factory,Chinese Mainland,,"Importer, Mail Order Co.","Thermal Flask,Thermal Mug,Vacuum Flask,Tea Pot","Stailess steel thermos cup, plastic cup","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-Credible-Daily-Products-Factory/1S00OZQTV,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KCRF,,,,,,,,,,,,,,,
"Yongkang Dongxu Elevator Industry Co., Ltd",Chinese Mainland,,Manufacturer,Hand Tool,Aluminum alloy ladder,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-Dongxu-Elevator-Industry-Co-Ltd/1S00P1LJU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MOR3,,,,,,,,,,,,,,,
"Yongkang Ego Import & Export Co., Ltd.",Chinese Mainland,,Manufacturer,"Thermal Mug,Cup","Stainless steel water bottle, mug, thermal, aluminum water bottle, plasstic water bottle","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-Ego-Import-Export-Co-Ltd-/1S00P2FZO,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MW8G,,,,,,,,,,,,,,,
"Yongkang Guangmang Industry & Trade Co., Ltd",Chinese Mainland,,Manufacturer,Thermal Flask,STAINLESS,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-Guangmang-Industry-Trade-Co-Ltd/1S00P0EOM,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LC66,,,,,,,,,,,,,,,
"Yongkang Honed Industry and Trade Co., Ltd.",Chinese Mainland,,Manufacturer,Bathroom Fittings & Sanitary Wares,"Spin Mop, Electric Spin Brush","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-Honed-Industry-And-Trade-Co-Ltd/1S00OO2RP,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LBW1,,,,,,,,,,,,,,,
"Yongkang M & U Industry and Trade Co., Ltd",Chinese Mainland,,Exporter,"Baking Mold,Kitchen Utensil,Tableware","Silicone cake mold, silicone ice mold, silicone mat",ODM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-M-U-Industry-and-Trade-Co-Ltd/1S00P1KEA,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MNZG,,,,,,,,,,,,,,,
"Yuyao Chenwu Plastic Industry Co., Ltd",Chinese Mainland,,"Chain Store, Consulate and Trade Commission, Charity / Welfare Organisation","Cookware, Tea Pot","Continuous spray bottle, foam spray bottle, oil spray bottle, and spray pour integrated oil bottle","OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yuyao-Chenwu-Plastic-Industry-Co-Ltd/1S00P0H1G,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LFAR,,,,,,,,,,,,,,,
"Yuyao Jinkai Commodities Co., Ltd.",Chinese Mainland,,Manufacturer,Kitchen Utensil,SCOURER/ SCRUBBER,ODM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yuyao-Jinkai-Commodities-Co-Ltd/1S00OXXD0,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HH0J,,,,,,,,,,,,,,,
"Zhangzhou Haojiayi Industry and Trade Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Chair,Home Office Furniture,Bedroom Furniture,Dining Room Furniture,Living Room Furniture,Furniture & Furnishing Accessory",Furniture,"OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2020 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhangzhou-Haojiayi-Industry-and-Trade-Co-Ltd-/1X0AF5G5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L0PX,,,,,,,,,,,,,,,
Zhejiang Bestime Kitchenware Co Ltd,Chinese Mainland,,Wholesaler,"Grill Pan,Saucepan,Frying Pan",ALUMINUM COOKWARE SET,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Bestime-Kitchenware-Co-Ltd/1S00P17X2,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M4W8,,,,,,,,,,,,,,,
Zhejiang New Vision Imp & Exp Co Ltd,Chinese Mainland,,Exporter,"Cup,Mug",Cup,"OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2016 HKTDC Hong Kong Electronics Fair (Spring Edition) 2016 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2015 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2014 HKTDC Hong Kong Fashion Week for Fall/Winter 2014 HKTDC Hong Kong Gifts & Premium Fair 2013 HKTDC Hong Kong Houseware Fair 2013 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-New-Vision-Imp-Exp-Co-Ltd/1X06FHF6,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KD65,,,,,,,,,,,,,,,
"Zhejiang Simplicity Artware Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Battery Operated Candle,Aroma Oil & Incense Stick","LED CANDLE, GLASS CANDLE","OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Simplicity-Artware-Co-Ltd/1S00P1PE5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MRF0,,,,,,,,,,,,,,,
"Zhejiang Songchao Zhenxuan Technology Co., Ltd.",Chinese Mainland,,Manufacturer,"Perfume & Cologne,Aroma Diffuser,Essential Oil,Home Fragrance,Aroma Oil & Incense Stick","Aromatherapy,perfume","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Songchao-Zhenxuan-Technology-Co-Ltd-/1S00P1GG8,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MGJZ,,,,,,,,,,,,,,,
Zhejiang Tianfeng Ceramics Ltd.,Chinese Mainland,,"Manufacturer, Exporter","Storage Box,Storage Rack,Tissue Box",Handicrafts and daily necessities made from Longquan celado,"OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Tianfeng-Ceramics-Ltd-/1S00P1I60,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MLH0,,,,,,,,,,,,,,,
"Zhejiang Tongxiang Foreign Trade (Group) Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer",Kitchen Gloves,"We specialize in home textiles, kitchen textiles, flame retardant and temperature protection textiles. Our main products are oven mitts, pot holders, aprons, etc.",Others,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Tongxiang-Foreign-Trade-Group-Co-Ltd-/1S00ONSJN,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005G7K5,,,,,,,,,,,,,,,
"Zhejiang Wanhe Paper Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Tabletop Accessories,Paper Napkin,Toilet Paper & Facial Tissue","Napkins, printed paper, airlaid paper","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Wanhe-Paper-Co-Ltd/1S00OVJCH,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KCFF,,,,,,,,,,,,,,,
"Zhejiang Youshide Plastic Co.,Ltd",Chinese Mainland,,Exporter,"Thermal Flask,Thermal Mug,Cup,Mug",Plastic shaker bottle,OEM,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Youshide-Plastic-Co-Ltd/1S00OZQJP,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005KBQJ,,,,,,,,,,,,,,,
Zhongshan Innolot Homeware Co Ltd,Chinese Mainland,,Manufacturer,Spice Container,"Salt and pepper grinders, spice storage bottles","ODM, Others, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Innolot-Homeware-Co-Ltd/1S00P127D,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LX5O,,,,,,,,,,,,,,,
"Zibo Qianju International Trade Co., Ltd",Chinese Mainland,,Manufacturer,Ceramic Crafts,"Sublimation mug, ceramic mug, magic mug and so on.",Others,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zibo-Qianju-International-Trade-Co-Ltd/1S00OOVO5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005JCH9,,,,,,,,,,,,,,,
Ddiin Concept Ltd.,Hong Kong,,,,,,,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Hong Kong Design Mission to Japan, October 2023 ""Think Business, Think Hong Kong"" Product Expo in Bangkok, Thailand HKTDC Hong Kong Gifts & Premium Fair 2023 Home InStyle 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Gifts & Premium Fair 2020 Show More",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ddiin-Concept-Ltd-/1X0B2DDK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MH3A,,,,,,,,,,,,,,,
Simega Ltd,Hong Kong,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SIMEGA-LIMITED/1S00OT6TF,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MGZN,,,,,,,,,,,,,,,
